item	cash	token0	token1	token2	token3	token16	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_tcg_loot_reward_series9_lepese_dictionary						5	0		"See library.utils for the int value of the classes. 0 is ""all"" but will only show if there are no items for the opener's class."
item_tcg_loot_reward_series1_sith_speeder						5	0		"So in the case of this table only traders will see the ""all"" items."
item_tcg_loot_reward_series3_sith_meditation_room_deed						20	0		token0 is Axvia Minn
item_tcg_loot_reward_series3_jedi_meditation_room_deed						20	0		token1 is Tusken
item_schematic_pvp_gcw_saber_1h_gen4						100	0		token2 is IG88
item_schematic_pvp_gcw_saber_2h_gen4						100	0		
item_schematic_pvp_bf_saber_03_01						100	0		
item_schematic_pvp_bf_saber_03_02						100	0		
item_schematic_pvp_bf_saber_03_03						100	0		
item_holocron_06_01						100	0		
item_holocron_06_02						100	0		
item_holocron_06_03						100	0		
item_holocron_06_04						100	0		
item_holocron_06_05						100	0		
item_holocron_06_06						100	0		
item_holocron_06_07						100	0		
item_holocron_06_08						100	0		
item_collection_jedi_holocron_01_01						100	0		
item_collection_jedi_holocron_01_02						100	0		
item_collection_jedi_holocron_01_03						100	0		
item_collection_jedi_holocron_01_04						100	0		
item_collection_jedi_holocron_01_05						100	0		
item_collection_jedi_holocron_02_01						100	0		
item_collection_jedi_holocron_02_02						100	0		
item_collection_jedi_holocron_02_03						100	0		
item_collection_jedi_holocron_02_04						100	0		
item_collection_jedi_holocron_02_05						100	0		
item_collection_sith_holocron_01_01						100	0		
item_collection_sith_holocron_01_02						100	0		
item_collection_sith_holocron_01_03						100	0		
item_collection_sith_holocron_01_04						100	0		
item_collection_sith_holocron_01_05						100	0		
item_collection_sith_holocron_02_01						100	0		
item_collection_sith_holocron_02_02						100	0		
item_collection_sith_holocron_02_03						100	0		
item_collection_sith_holocron_02_04						100	0		
item_collection_sith_holocron_02_05						100	0		
item_beast_holocron_04_01						100	0		
item_beast_holocron_04_02						100	0		
item_beast_holocron_04_03						100	0		
item_beast_holocron_04_04						100	0		
item_beast_holocron_04_05						100	0		
item_beast_holocron_04_06						100	0		
item_beast_holocron_04_07						100	0		
item_beast_holocron_04_09						100	0		
item_beast_holocron_04_10						100	0		
object/tangible/jedi/no_drop_jedi_holocron_light.iff						100	0		
object/tangible/jedi/no_drop_jedi_holocron_dark.iff						100	0		
item_auto_level_50_buddy_conversion						1	0		
object/tangible/item/quest/force_sensitive/fs_sculpture_1.iff						1	0		
object/tangible/item/quest/force_sensitive/fs_sculpture_2.iff						1	0		
object/tangible/item/quest/force_sensitive/fs_sculpture_3.iff						1	0		
object/tangible/item/quest/force_sensitive/fs_sculpture_4.iff						1	0		
